2023-10-26 09:21:34.169 INFO - [kground-preinit] org.hibernate.validator.internal.util.Version 21 : HV000001: Hibernate Validator 8.0.1.Final
2023-10-26 09:21:34.266 INFO - [  restartedMain] com.example.employeeProject.EmployeeProjectApplication 51 : Starting EmployeeProjectApplication using Java 17.0.9 with PID 21428 (/home/user/Documents/employeeProject/target/classes started by user in /home/user/Documents/employeeProject)
2023-10-26 09:21:34.272 DEBUG - [  restartedMain] com.example.employeeProject.EmployeeProjectApplication 52 : Running with Spring Boot v3.1.4, Spring v6.0.12
2023-10-26 09:21:34.275 INFO - [  restartedMain] com.example.employeeProject.EmployeeProjectApplication 637 : No active profile set, falling back to 1 default profile: "default"
2023-10-26 09:21:34.399 INFO - [  restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor 250 : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-10-26 09:21:34.401 INFO - [  restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor 250 : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-10-26 09:21:36.070 INFO - [  restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate 291 : Multiple Spring Data modules found, entering strict repository configuration mode
2023-10-26 09:21:36.073 INFO - [  restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate 138 : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-10-26 09:21:36.353 INFO - [  restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate 208 : Finished Spring Data repository scanning in 269 ms. Found 4 JPA repository interfaces.
2023-10-26 09:21:36.380 INFO - [  restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate 291 : Multiple Spring Data modules found, entering strict repository configuration mode
2023-10-26 09:21:36.382 INFO - [  restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate 138 : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-10-26 09:21:36.409 INFO - [  restartedMain] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport 320 : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.employeeProject.department.DepartmentRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2023-10-26 09:21:36.410 INFO - [  restartedMain] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport 320 : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.employeeProject.employee.EmployeeRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2023-10-26 09:21:36.411 INFO - [  restartedMain] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport 320 : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.employeeProject.jobTitle.JobTitleRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2023-10-26 09:21:36.412 INFO - [  restartedMain] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport 320 : Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.employeeProject.security.UserRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2023-10-26 09:21:36.412 INFO - [  restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate 208 : Finished Spring Data repository scanning in 14 ms. Found 0 Redis repository interfaces.
2023-10-26 09:21:37.187 INFO - [  restartedMain] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 409 : Bean 'jwtService' of type [com.example.employeeProject.security.config.JwtService] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-10-26 09:21:37.211 INFO - [  restartedMain] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 409 : Bean 'jpa.named-queries#2' of type [org.springframework.data.repository.config.PropertiesBasedNamedQueriesFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-10-26 09:21:37.215 INFO - [  restartedMain] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 409 : Bean 'jpa.named-queries#2' of type [org.springframework.data.repository.core.support.PropertiesBasedNamedQueries] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-10-26 09:21:37.228 INFO - [  restartedMain] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 409 : Bean 'org.springframework.boot.autoconfigure.sql.init.DataSourceInitializationConfiguration' of type [org.springframework.boot.autoconfigure.sql.init.DataSourceInitializationConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-10-26 09:21:37.231 INFO - [  restartedMain] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 409 : Bean 'org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Hikari' of type [org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Hikari] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-10-26 09:21:37.263 INFO - [  restartedMain] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 409 : Bean 'spring.datasource-org.springframework.boot.autoconfigure.jdbc.DataSourceProperties' of type [org.springframework.boot.autoconfigure.jdbc.DataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-10-26 09:21:37.269 INFO - [  restartedMain] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 409 : Bean 'org.springframework.boot.autoconfigure.jdbc.DataSourceAutoConfiguration$PooledDataSourceConfiguration' of type [org.springframework.boot.autoconfigure.jdbc.DataSourceAutoConfiguration$PooledDataSourceConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-10-26 09:21:37.273 INFO - [  restartedMain] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 409 : Bean 'jdbcConnectionDetails' of type [org.springframework.boot.autoconfigure.jdbc.PropertiesJdbcConnectionDetails] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-10-26 09:21:37.333 INFO - [  restartedMain] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 409 : Bean 'dataSource' of type [com.zaxxer.hikari.HikariDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-10-26 09:21:37.350 INFO - [  restartedMain] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 409 : Bean 'spring.sql.init-org.springframework.boot.autoconfigure.sql.init.SqlInitializationProperties' of type [org.springframework.boot.autoconfigure.sql.init.SqlInitializationProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-10-26 09:21:37.356 INFO - [  restartedMain] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 409 : Bean 'dataSourceScriptDatabaseInitializer' of type [org.springframework.boot.autoconfigure.sql.init.SqlDataSourceScriptDatabaseInitializer] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-10-26 09:21:37.359 INFO - [  restartedMain] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 409 : Bean 'org.springframework.boot.devtools.autoconfigure.DevToolsDataSourceAutoConfiguration' of type [org.springframework.boot.devtools.autoconfigure.DevToolsDataSourceAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-10-26 09:21:37.362 INFO - [  restartedMain] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 409 : Bean 'inMemoryDatabaseShutdownExecutor' of type [org.springframework.boot.devtools.autoconfigure.DevToolsDataSourceAutoConfiguration$NonEmbeddedInMemoryDatabaseShutdownExecutor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-10-26 09:21:37.370 INFO - [  restartedMain] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 409 : Bean 'spring.jpa-org.springframework.boot.autoconfigure.orm.jpa.JpaProperties' of type [org.springframework.boot.autoconfigure.orm.jpa.JpaProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-10-26 09:21:37.376 INFO - [  restartedMain] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 409 : Bean 'spring.jpa.hibernate-org.springframework.boot.autoconfigure.orm.jpa.HibernateProperties' of type [org.springframework.boot.autoconfigure.orm.jpa.HibernateProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-10-26 09:21:37.381 INFO - [  restartedMain] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 409 : Bean 'org.springframework.boot.autoconfigure.jdbc.metadata.DataSourcePoolMetadataProvidersConfiguration$HikariPoolDataSourceMetadataProviderConfiguration' of type [org.springframework.boot.autoconfigure.jdbc.metadata.DataSourcePoolMetadataProvidersConfiguration$HikariPoolDataSourceMetadataProviderConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
